ibdid,Effect,EffectVar,ModelFreq,WindowFreq,GeneFreq,GenVar,EffectDelta1,SDDelta1,t.like,shrink,chr,pos,file,trait,mode,tsf
2_11198355,0.5264,5.244252,0.0222,0.0294,0.335,0.1234475,23.7131,25.9355,0.914,0.892,2,11198355,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
4_155222659,1.531,22.32455,0.0839,0.0943,0.236,0.8443212,18.2484,19.0384,0.959,0.948,4,155222659,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
4_18589221,0.7959,7.489016,0.0539,0.0639,0.128,0.1414218,14.7655,15.3914,0.959,0.934,4,18589221,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
7_111665749,1.282,11.94654,0.0635,0.0734,0.27,0.6478834,20.1962,21.1724,0.954,0.883,7,111665749,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
7_153708253,0.8004,8.213297,0.0328,0.0446,0.105,0.1199346,24.4011,26.1239,0.934,0.872,7,153708253,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
8_168277191,2.525,22.62109,0.082,0.0932,0.19,1.963891,30.7948,32.3018,0.953,0.776,8,168277191,slurm-scripts/wholeset/eht_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,BPHmin
10_10881154,0.5206,3.257632,0.0374,0.0456,0.279,0.109002,13.9207,14.4914,0.961,0.955,10,10881154,slurm-scripts/wholeset/eht_MPH_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,MPH
1_62229600,0.9003,5.397111,0.0454,0.0632,0.285,0.3302637,19.8314,21.0156,0.944,0.92,1,62229600,slurm-scripts/wholeset/eht_MPH_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,MPH
1_66954702,0.8628,4.630997,0.0854,0.0953,0.397,0.3564045,10.103,10.3387,0.977,0.973,1,66954702,slurm-scripts/wholeset/eht_MPH_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,MPH
5_6371710,0.588,3.486091,0.0605,0.0678,0.503,0.1728566,9.71876,10.1049,0.962,0.98,5,6371710,slurm-scripts/wholeset/eht_MPH_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,MPH
1_282466668,1.765,9.68837,0.0822,0.0953,0.129,0.699191,21.4739,22.5517,0.952,0.764,1,282466668,slurm-scripts/wholeset/eht_MPH_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,MPH
5_111252609,3.726,20.88683,0.2022,0.2129,0.174,3.994631,18.4264,18.7484,0.983,0.851,5,111252609,slurm-scripts/wholeset/eht_MPH_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,MPH
5_171869507,1.057,5.784475,0.0386,0.0486,0.132,0.2558366,27.3896,29.5888,0.926,0.632,5,171869507,slurm-scripts/wholeset/eht_MPH_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,MPH
7_153708253,0.9487,6.137113,0.0546,0.0749,0.105,0.16852,17.3758,18.3197,0.948,0.84,7,153708253,slurm-scripts/wholeset/eht_MPH_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,MPH
7_17469942,0.7728,5.103458,0.0583,0.0693,0.289,0.2452527,13.2557,13.8234,0.959,0.887,7,17469942,slurm-scripts/wholeset/eht_MPH_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,MPH
8_118769478,0.6286,3.866603,0.0356,0.047,0.218,0.1348076,17.6575,18.6597,0.946,0.803,8,118769478,slurm-scripts/wholeset/eht_MPH_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,MPH
10_1152934,0.5852,7.829723,0.0262,0.0352,0.279,0.137718,22.3363,23.9688,0.932,0.984,10,1152934,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
10_116865738,1.013,10.34664,0.0224,0.0314,0.075,0.142433,45.2314,47.8148,0.946,0.942,10,116865738,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
10_13642325,6.223,55.16312,0.1639,0.1733,0.12,8.206867,37.9711,39.4007,0.964,0.967,10,13642325,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
10_143708065,0.5976,7.579678,0.0185,0.0339,0.255,0.1358006,32.3033,34.3368,0.941,0.98,10,143708065,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
10_147147520,5.107,65.51114,0.1913,0.197,0.385,12.34898,26.6962,27.4258,0.973,0.993,10,147147520,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
10_25775352,4.452,41.8667,0.1252,0.1336,0.181,5.877923,35.5595,37.1434,0.957,0.965,10,25775352,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
10_54431383,-0.8419,13.2616,0.0393,0.0516,0.207,0.2325387,-21.422,23.4969,0.912,0.987,10,54431383,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
10_8708408,2.056,24.17591,0.0782,0.0866,0.073,0.5701669,26.2922,27.2641,0.964,0.963,10,8708408,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
1_164085165,-0.8218,11.92122,0.034,0.0422,0.367,0.3136529,-24.1701,25.3081,0.955,0.987,1,164085165,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
1_204260179,7.327,90.46207,0.3012,0.3074,0.32,23.35194,24.326,23.9249,1.017,0.99,1,204260179,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
2_178659538,2.941,26.36629,0.0807,0.0891,0.061,0.9964117,36.444,38.3024,0.951,0.934,2,178659538,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
2_183918892,2.606,27.0696,0.0885,0.0983,0.193,2.117183,29.4476,31.2748,0.942,0.976,2,183918892,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
2_183935937,0.6914,8.214702,0.0314,0.0424,0.211,0.1593749,22.0198,22.8215,0.965,0.984,2,183935937,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
2_60075744,0.7277,13.13285,0.0358,0.0439,0.381,0.2498247,20.3282,21.5162,0.945,0.99,2,60075744,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
3_4633049,-0.795,9.499048,0.0229,0.0338,0.249,0.2365053,-34.7144,37.4048,0.928,0.957,3,4633049,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
4_126340837,0.6538,8.600526,0.0256,0.0364,0.273,0.1695717,25.5393,27.3953,0.932,0.991,4,126340837,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
4_160526452,2.367,26.1015,0.0758,0.0851,0.294,2.326525,31.2335,32.373,0.965,0.977,4,160526452,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
4_167184413,0.9212,13.16698,0.0322,0.0425,0.231,0.301531,28.6079,30.2751,0.945,0.975,4,167184413,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
4_237612278,1.724,15.6618,0.0446,0.0518,0.142,0.7230442,38.6609,40.606,0.952,0.955,4,237612278,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
4_27982537,1.157,16.99034,0.0392,0.0475,0.095,0.2310456,29.5076,30.9824,0.952,0.968,4,27982537,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
5_1020528,-2.951,33.08492,0.0853,0.0937,0.165,2.402065,-34.6006,36.1445,0.957,0.968,5,1020528,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
5_22625920,1.928,21.78905,0.0628,0.072,0.129,0.8341321,30.7003,31.9382,0.961,0.961,5,22625920,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
5_3090912,2.63,27.09866,0.0981,0.1061,0.335,3.081987,26.8131,27.5621,0.973,0.991,5,3090912,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
6_31214156,0.6719,7.010428,0.0294,0.0528,0.265,0.1759107,22.8527,23.9217,0.955,0.967,6,31214156,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
6_76234013,1.119,11.01711,0.03,0.0423,0.08,0.1832472,37.2884,40.464,0.922,0.835,6,76234013,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
8_15431444,2.934,43.33955,0.1301,0.139,0.245,3.183079,22.5557,23.3423,0.966,0.987,8,15431444,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
8_161067378,1.398,16.47489,0.0454,0.0576,0.26,0.7521123,30.8,32.6425,0.944,0.965,8,161067378,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
8_161743443,0.7608,12.23603,0.0289,0.0446,0.169,0.1625517,26.327,27.5925,0.954,0.993,8,161743443,slurm-scripts/wholeset/eht_perse_1a2.mrkRes1,slurm-scripts/wholeset/eht,1a2.mrkRes1,perse
1_164480492,-0.5753,10.36493,0.0338,0.0471,0.423,0.1616128,-17.0209,17.7442,0.959,0.949,1,164480492,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
1_285922269,1.494,15.37773,0.0373,0.0468,0.068,0.2836566,40.0565,42.671,0.939,0.762,1,285922269,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
1_88529381,1.129,12.15694,0.033,0.0424,0.065,0.1553252,34.2183,36.1481,0.947,0.817,1,88529381,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
2_183918892,0.6932,9.234004,0.0233,0.0332,0.226,0.1679704,29.75,31.8165,0.935,0.864,2,183918892,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
2_211731867,1.198,18.80546,0.064,0.0743,0.226,0.5015575,18.7157,19.4066,0.964,0.96,2,211731867,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
3_227623702,0.5579,6.497673,0.0194,0.0284,0.211,0.103752,28.7559,30.482,0.943,0.842,3,227623702,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
4_90840404,3.713,38.23948,0.0825,0.0944,0.058,1.49629,45.0086,47.483,0.948,0.798,4,90840404,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
5_111252609,0.8992,13.61982,0.0346,0.0471,0.174,0.2326926,25.9895,28.2079,0.921,0.906,5,111252609,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
5_4218405,0.6337,7.079524,0.0276,0.0396,0.198,0.1274123,22.9608,24.2254,0.948,0.9,5,4218405,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
6_36945819,2.812,29.90464,0.0794,0.0888,0.102,1.451904,35.4145,36.955,0.958,0.829,6,36945819,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
6_43972397,1.522,19.04806,0.0612,0.1666,0.159,0.6196549,24.8663,25.9158,0.96,0.91,6,43972397,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
6_44005747,1.559,20.43536,0.0758,0.167,0.204,0.7889422,20.57,21.2235,0.969,0.94,6,44005747,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
6_65262204,2.092,25.77491,0.0651,0.0726,0.083,0.6632576,32.1391,33.6851,0.954,0.887,6,65262204,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
8_164170484,1.264,14.4212,0.0331,0.0419,0.052,0.1583331,38.1912,40.8407,0.935,0.777,8,164170484,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
8_164189136,1.254,14.73295,0.0399,0.0501,0.118,0.3277593,31.4286,33.1228,0.949,0.86,8,164189136,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
8_8918436,1.526,21.55794,0.0782,0.09,0.287,0.9537182,19.5186,20.2272,0.965,0.952,8,8918436,slurm-scripts/wholeset/eht_perse_1d2.mrkRes1,slurm-scripts/wholeset/eht,1d2.mrkRes1,perse
10_112035735,0.5371,12.25152,0.0118,0.0232,0.262,0.1115848,45.5158,49.007,0.929,0.952,10,112035735,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
10_136166625,1.172,22.77241,0.0176,0.0273,0.265,0.5356893,66.6167,72.1932,0.923,0.84,10,136166625,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
10_141945779,0.9862,29.27952,0.0198,0.0313,0.286,0.3975423,49.8098,52.8135,0.943,0.967,10,141945779,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
10_144144209,0.8361,18.72654,0.0167,0.0283,0.277,0.2796704,50.0631,54.1206,0.925,0.932,10,144144209,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
1_16206862,-1.53,34.25131,0.0204,0.0302,0.039,0.1771819,-75.0028,82.5279,0.909,0.663,1,16206862,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
1_248737567,0.6932,19.72084,0.0209,0.0304,0.55,0.237829,33.1653,34.6637,0.957,0.987,1,248737567,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
1_293162351,3.292,70.38599,0.0445,0.0536,0.174,3.118372,73.9753,78.6412,0.941,0.876,1,293162351,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
1_294097665,1.159,29.14924,0.0185,0.0295,0.127,0.2983391,62.6414,68.1353,0.919,0.866,1,294097665,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
1_43760830,0.7255,19.92132,0.0139,0.0231,0.158,0.1402872,52.1943,55.4981,0.94,0.934,1,43760830,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
2_14547286,1.212,29.4544,0.0175,0.0287,0.037,0.1049472,69.2366,75.9114,0.912,0.655,2,14547286,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
2_1554294,0.676,17.61344,0.0184,0.0264,0.586,0.2217703,36.7375,39.3522,0.934,0.983,2,1554294,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
2_185598143,1.328,27.9241,0.0182,0.0315,0.061,0.2008652,72.9766,79.2186,0.921,0.652,2,185598143,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
2_217336194,0.6788,15.73196,0.0124,0.0236,0.194,0.1440423,54.7383,58.8692,0.93,0.863,2,217336194,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
2_217646795,1.54,31.32244,0.0352,0.0433,0.216,0.8033956,43.7611,45.7214,0.957,0.961,2,217646795,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
2_23470410,0.9714,21.1155,0.0158,0.0255,0.191,0.2915088,61.481,65.3346,0.941,0.9,2,23470410,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
2_23549126,1.841,35.91711,0.0266,0.0351,0.017,0.1110381,69.1935,73.7207,0.939,0.629,2,23549126,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
2_40492508,0.6853,20.6374,0.0146,0.0237,0.222,0.162234,46.9416,49.9578,0.94,0.956,2,40492508,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
3_176517832,1.572,33.51493,0.0217,0.0308,0.065,0.3010954,72.451,78.4686,0.923,0.699,3,176517832,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
3_198319760,3.493,76.50946,0.0461,0.0561,0.065,1.48629,75.7711,80.8949,0.937,0.894,3,198319760,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
3_206147799,0.6892,17.97951,0.0144,0.0776,0.292,0.1962894,47.8638,51.4923,0.93,0.96,3,206147799,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
3_206184093,2.387,51.79697,0.0538,0.0775,0.267,2.231788,44.3612,46.0479,0.963,0.968,3,206184093,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
3_209543446,0.5389,12.12008,0.0117,0.0304,0.28,0.117152,46.0559,48.8903,0.942,0.961,3,209543446,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
3_229904874,1.191,31.35378,0.0176,0.0295,0.161,0.3840919,67.6862,72.7502,0.93,0.913,3,229904874,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
3_5985229,1.481,34.80779,0.0202,0.0303,0.183,0.656998,73.3284,77.5086,0.946,0.912,3,5985229,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
5_200935142,0.568,16.26744,0.0106,0.027,0.4,0.1548668,53.5862,56.8101,0.943,0.964,5,200935142,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
5_212868765,0.7819,18.82858,0.0132,0.0245,0.35,0.2781909,59.2368,64.0953,0.924,0.94,5,212868765,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
5_215289264,0.8673,21.81294,0.0169,0.0257,0.346,0.3405233,51.3194,54.9997,0.933,0.952,5,215289264,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
5_26062379,1.474,34.27289,0.0211,0.0308,0.113,0.4349091,69.84,74.4435,0.938,0.68,5,26062379,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
5_5377991,0.7573,18.34506,0.0111,0.0235,0.148,0.1444193,68.2268,73.787,0.925,0.912,5,5377991,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
7_40327820,1.309,25.47792,0.0249,0.0354,0.214,0.5755965,52.5648,55.5997,0.945,0.934,7,40327820,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
7_47930951,0.6694,12.86479,0.0111,0.025,0.195,0.1405054,60.3044,66.1142,0.912,0.905,7,47930951,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
8_100186325,-0.8817,20.15755,0.0155,0.0286,0.194,0.243038,-56.8818,58.9249,0.965,0.947,8,100186325,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
8_171790847,2.094,42.01761,0.0292,0.0396,0.021,0.1820625,71.7093,77.3414,0.927,0.667,8,171790847,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
8_6464829,-0.8291,20.63198,0.0124,0.0213,0.136,0.161147,-66.862,72.1279,0.927,0.858,8,6464829,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
9_146463377,1.087,28.0599,0.0342,0.0501,0.41,0.5719205,31.7931,33.0138,0.963,0.987,9,146463377,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
9_23061219,-2.481,53.66546,0.037,0.0454,0.102,1.122677,-67.0486,70.6049,0.95,0.866,9,23061219,slurm-scripts/wholeset/gy_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/gy,1a2.mrkRes1,BPHmax
2_1287224,0.8791,17.51111,0.0273,0.036,0.215,0.2610084,32.2021,33.6209,0.958,0.886,2,1287224,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
2_236244542,-0.7351,14.04073,0.0159,0.0302,0.169,0.1517251,-46.2311,49.2222,0.939,0.848,2,236244542,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
3_162691522,-1.115,19.08756,0.0231,0.0407,0.129,0.2788538,-48.2571,50.6371,0.953,0.836,3,162691522,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
3_199019111,0.7884,13.8659,0.0295,0.0509,0.137,0.1471,26.7265,28.0324,0.953,0.921,3,199019111,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
3_199650473,-23.06,422.2165,0.5607,0.5715,0.361,245.1302,-41.1199,35.3088,1.165,0.958,3,199650473,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
3_204286201,-0.6244,15.50824,0.0138,0.0229,0.179,0.1144916,-45.2476,48.8821,0.926,0.866,3,204286201,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
3_206147799,0.8007,19.64744,0.0261,0.0613,0.334,0.2852649,30.6781,32.3085,0.95,0.934,3,206147799,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
3_206184093,0.6066,10.87265,0.0245,0.0612,0.316,0.159017,24.7572,26.0352,0.951,0.936,3,206184093,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
5_23021628,0.7114,14.136,0.0246,0.0332,0.168,0.1415988,28.9185,30.5692,0.946,0.9,5,23021628,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
5_64101724,0.7791,13.5447,0.0187,0.0299,0.102,0.1107157,41.6608,44.8086,0.93,0.824,5,64101724,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
6_80186667,-6.26,136.0859,0.2197,0.2738,0.225,13.66672,-28.4935,28.6543,0.994,0.969,6,80186667,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
6_80627268,-2.225,44.97456,0.0411,0.2732,0.098,0.8729778,-54.1336,57.2883,0.945,0.894,6,80627268,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
7_124211450,2.161,39.13868,0.0704,0.0806,0.223,1.616789,30.6949,31.8634,0.963,0.933,7,124211450,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
7_17469942,2.754,54.17378,0.0925,0.1008,0.289,3.115138,29.7756,30.8825,0.964,0.91,7,17469942,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
7_19320211,1.14,19.45359,0.0239,0.0388,0.193,0.4053121,47.7102,51.2636,0.931,0.77,7,19320211,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
7_5070141,0.7167,11.00254,0.0119,0.0555,0.17,0.1452771,60.23,66.5354,0.905,0.59,7,5070141,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
7_5073702,1.951,32.54132,0.0309,0.0607,0.151,0.974525,63.1347,67.528,0.935,0.764,7,5073702,slurm-scripts/wholeset/gy_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/gy,1d2.mrkRes1,BPHmax
